id,title,key
1,永磁电机驱动的纯电动大巴车坡道起步防溜策略,b'0.3838152902979417 0.3289845345410929 0.3289845345410929 0.3262780621099263 0.21932302302739526 0.21932302302739526 0.21932302302739526 0.16449226727054644 0.16449226727054644 0.16449226727054644'
2,机动车辆车门的肘靠,b'0.5631982039382148 0.2815991019691074 0.2815991019691074 0.2745360188893112 0.1407995509845537 0.1407995509845537 0.1407995509845537 0.1407995509845537 0.1407995509845537 0.1407995509845537'
3,仪表板支撑结构,b'0.5582699337101866 0.4152578912849576 0.29661277948925546 0.2791349668550933 0.2791349668550933 0.2791349668550933 0.20935122514131996 0.13956748342754666 0.13956748342754666 0.13956748342754666'
4,铰接的头枕总成,b'0.5419155184841067 0.4741760786735933 0.3455082750762128 0.3386971990525667 0.27095775924205334 0.1727541375381064 0.13547887962102667 0.13547887962102667 0.13547887962102667 0.11516942502540427'
5,用于评估和控制电池系统的系统和方法,b'0.5072248627898749 0.4243928479919531 0.25361243139493744 0.25361243139493744 0.25361243139493744 0.20961980752927517 0.1902093235462031 0.16169530253398542 0.14146428266398436 0.12680621569746872'
6,侧气囊装置,b'0.6187103519408317 0.35354877253761813 0.31192127327339825 0.2534147066182702 0.20794751551559884 0.20794751551559884 0.20794751551559884 0.17677438626880906 0.17677438626880906 0.17677438626880906'
7,制造气囊的方法,b'0.6312483495443802 0.49097093853451795 0.28055482201972454 0.21041611651479342 0.20109451208716816 0.16501451210303722 0.16501451210303722 0.16501451210303722 0.16501451210303722 0.14027741100986227'
8,上部椅背枢轴系统,b'0.6758487278397984 0.36864476063989005 0.24576317375992668 0.24576317375992668 0.22847664899512088 0.18432238031994502 0.17969919694840006 0.1566908629606594 0.12288158687996334 0.12288158687996334'
9,用于在机动车的行驶过程中关闭和启动内燃机的方法,b'0.5158063494366395 0.3438708996244263 0.28422168186992836 0.25790317471831975 0.25790317471831975 0.25790317471831975 0.17193544981221315 0.17193544981221315 0.17193544981221315 0.17193544981221315'
10,半倾斜货箱卸载系统,b'0.5752728195138157 0.4425175534721659 0.35401404277773274 0.32911335312622175 0.22125877673608296 0.19746801187573307 0.18394330394970265 0.17700702138886637 0.13275526604164978 0.10785457639013879'
